"name","isArchived","code","id","created_date","updated_date","created_by_id","is_sample"
"Здоровье и сопровождение","false","ЗДВ","6a80e36e20b692f8c321b40d","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Перевозки и переезды","false","ПЕР","6a80e36e20b692f8c321b40e","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Грузчики","false","ГРУ","6a80e36e20b692f8c321b40f","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Личный водитель","false","ВОЖ","6a80e36e20b692f8c321b410","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Эвакуатор","false","ЭВА","6a80e36e20b692f8c321b411","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Бухгалтерия","false","БУХ","6a80e36e20b692f8c321b412","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Юрист","false","ЮРД","6a80e36e20b692f8c321b413","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Переводчик","false","ПЕРВ","6a80e36e20b692f8c321b414","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Регистрация бизнеса","false","РЕГ","6a80e36e20b692f8c321b415","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Консультации","false","КОН","6a80e36e20b692f8c321b416","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Сайты","false","САЙ","6a80e36e20b692f8c321b417","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Разработка ПО","false","РАЗ","6a80e36e20b692f8c321b418","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Дизайн","false","ДИЗ","6a80e36e20b692f8c321b419","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
